"","current_character","current_dialogue"
"444","                                             NEBULA ","I will hunt my father like a dog and I will tear him apart slowly, piece by piece, until he knows some semblance of the profound and unceasing pain I know every single  day."
"445","                                             KRAGLIN","Yeah... I was talking about, like, a pretty necklace. Or a nice hat. Something that'll make the other  girls go `oooooo, that's nice.'"
"446","                                             KRAGLIN ","Anyway, uh, happy trails."
"447","                                             QUILL","My mother told everyone my father  was from the stars."
"448","                                             QUILL ","She had brain cancer - so everyone  thought she was delusional."
"449","                                             EGO","PETER -"
"450","                                              QUILL","Listen. I'd love to believe all of this, I really would - but you left the most wonderful woman ever, to  die alone!"
"451","                                             EGO","I didn't want to leave your mother, Peter. But if I don't return regularly to this planet, and the light within, this form will wither  and perish --"
"452","                                             QUILL","So why didn't you come back?! Why'd you send Yondu, a criminal, of all  people, to fetch me?!"
"453","                                             EGO","I loved your mother, Peter! I couldn't stand to set foot on an earth where she wasn't living! You  can't imagine what that's like!"
"454","                                             QUILL","I know exactly what that's like! I  had to watch her die!"
"455","                                             EGO","Over the millions and millions of years of my existence I have made many mistakes, Peter. But you're not one of them. Please give me the chance to be the father she  would want me to be."
"456","                                             EGO ","There are so many things I need to teach you. This planet, and the light within... they are a part of  you."
"457","                                             QUILL","What do you mean?"
"458","                                             EGO","Give me your hands, son.  Here.  Hold them like that."
"459","                                             EGO ","Now close your eyes and concentrate. Take your brain to the  center of the planet."
"460","                                               EGO ","Yes! Yes!"
"461","                                               QUILL","Whoa."
"462","                                             EGO","Yes, yes - it's okay. Just relax. Concentrate. You can do it. Bring  it back."
"463","                                             EGO ","Yes, yes, now - shape it -"
"464","                                             EGO ","Feel the energy."
"465","                                               EGO ","Yes."
"466","                                             EGO ","You're home, Peter."
"467","                                               EGO ","Here."
"468","                                             DRAX","How did you get here?"
"469","                                             MANTIS","Ego found me in my larva state, orphaned on my homeworld. He raised  me by hand, and kept me as his own."
"470","                                             DRAX","So you're a pet?"
"471","                                                MANTIS","I suppose."
"472","                                             DRAX","People usually want cute pets. Why  would Ego want a hideous one?"
"473","                                             MANTIS","I am hideous?"
"474","                                             DRAX","You're horrifying to look at, yes."
"475","                                             DRAX ","But it is a good thing."
"476","                                                MANTIS","Oh?"
"477","                                             DRAX","When you are ugly and someone loves you, you know they love you for who you are. Beautiful people never  know who to trust."
"478","                                             MANTIS","Poor Gamora. She can never trust  anyone."
"479","                                             DRAX","Those pools remind me of a time I took my daughter to visit the Forgotten Lakes on my homeworld.  She was like you."
"480","                                             MANTIS","Disgusting?"
"481","                                               DRAX","Innocent."
"482","                                             MANTIS","I have never met anyone like you, or your friends. You are filled with such... love. It is a thing I did not know existed, not like this, and I think... I think it may be the very finest of all things. It both hurts and soothes the  heart."
"483","                                             MANTIS ","Drax, there is something I must  TELL -"
"484","                              GAMORA ","What's going on?"
"485","                                             MANTIS","I am learning many things. Like I  am a pet and ugly."
"486","                                             GAMORA","Drax."
"487","                                             GAMORA ","Mantis, can you show us where we'll be staying? I'm getting eye-strain  in this place."
"488","                                             GAMORA","Why are there no other beings on  this planet?"
"489","                                             MANTIS","The planet IS Ego. A dog would not  invite a flea to live on his back."
"490","                                             GAMORA","And you're not a flea?"
"491","                                              MANTIS","I'm a flea with a purpose. I help  him sleep."
"492","                                             GAMORA","What were you about to say to Drax  before I walked out?"
"493","                                              MANTIS","Nothing."
"494","                                             MANTIS ","Your quarters are this way."
"495","                                             TASERFACE","We'll deliver you to the Kree in the morning. Neither one of you  gonna last much longer after that."
"496","                                             ROCKET","Okay, Taserface. See you later, Taserface. Hey, Taserface, tell the  other guys we said hi, Taserface!"
"497","                              GEF THE RAVAGER","What about the little plant? Can I  smash it with a rock?"
"498","                                             TASERFACE","No, Gef! It's too adorable to kill.  Bring it to the tailor."
"499","                                             ROCKET","No offense, but your employees are  a bunch of jerks."
"500","                                             YONDU","I was a Kree battle-slave for twenty years when Stakar freed me. He offered me a place in the Ravagers. Said all I needed to do was adhere to the code. But I was young and greedy and stupid - like  you stealing those batteries."
"501","                                             ROCKET","That was mostly Drax."
"502","                                             YONDU","Me and Stakar, and the other captains - we weren't so different from you and your friends. The only family I ever had. But I broke the  code. They exiled me."
"503","                                             YONDU ","These ones here are the ones who followed - of course they're jerks.  Which is what I deserve."
"504","                                             ROCKET","Slow down, drama queen. You might deserve this, but I don't. We gotta  get out of here."
"505","                                             YONDU","Where's Quill?"
"506","                                             ROCKET","Went off with his old man."
"507","                                             YONDU","Ego?"
"508","                                             ROCKET","Yeah. It's a day for dumbass names."
"509","                                             ROCKET ","You smiled and for a second I got a warm feeling, but then it was ruined by those disgusting-ass  teeth. Ever heard of floss?"
"510","                                             YONDU","You're like a professional asshole  or - ?"
"511","                                             ROCKET","Pretty much a pro. Why didn't you deliver Quill to Ego like you  promised?"
"512","                                             YONDU","He was skinny, could fit into places we couldn't. Good for  thieving."
"513","                                             YONDU ","I got an idea on how to get outta here. But we're gonna need your  little friend."
"514","                                             RETCH","Lil' feller's all worked up! Needs  a drank!"
"515","                                             RETCH ","Lookit how cute it is when it's all  riled up!"
"516","                              YONDU ","Hey, twig. C'mere."
"517","                                             ROCKET","Oh, man. What'd they do to you?"
"518","                                             YONDU","Hey, you wanna help us get outta  here?"
"519","                                             YONDU ","There's something I need you to  get, and bring back to me."
"520","                                             YONDU ","In the Cap'n's quarters, there's a prototype fin, like the thing I  wore on my head."
"521","                                             YONDU ","There's a drawer next to the bunk. It's inside that. It's red. You  got it?"
"522","                                             YONDU","That's my underwears."
"523","                                             ROCKET","Yeah, I was pretty sure he didn't know what you were talking about. You have to explain it more  careful."
"524","                                             YONDU","All right. It's a prototype fin -"
"525","                                             ROCKET","That's an orloni. It's a fin,  Groot."
"526","                                             YONDU","You explain it this time."
"527","                                             YONDU","That's Vorker's eye. He takes it  out when he sleeps. Go look again."
"528","                                             ROCKET","But leave the eye here."
"529","                                             YONDU","Why?"
"530","                                             ROCKET","He's gonna wake up tomorrow and he's not gonna know where his eye  is!"
"531","                                             ROCKET","That's a desk. We told you it was  this big."
"532","                                             ROCKET","Tell me you guys have a refrigerator somewhere with a bunch  of severed human toes."
"533","                                             ROCKET ","Okay, then let's just agree to  never discuss this."
"534","                                             YONDU","The drawer you want to open. Has  this symbol on it, okay?"
"535","                                               YONDU ","What? No."
"536","                                             ROCKET","He thinks you want him to wear it  as a hat."
"537","                                             YONDU","That's not what I said."
"538","                                             GROOT","I am Groot."
"539","                                             ROCKET","He's relieved that you don't want  him to."
"540","                                             GROOT","I am Groot."
"541","                                             ROCKET","He hates hats."
"542","                                             GROOT","I am Groot."
"543","                                             ROCKET","On anyone, not just himself."
"544","                                             GROOT","I am Groot."
"545","                                             ROCKET","That's why you don't like hats?"
"546","                                              YONDU","This is an important conversation  right now?"
"547","                                              ROCKET","No.   Let's try again."
"548","                              KRAGLIN ","That ain't it."
"549","                                             KRAGLIN","They killed all my friends."
"550","                                               YONDU","Go get the third quadrant ready for  release."
"551","                                               ROCKET","One more thing."
"552","                                               ROCKET ","You got any clones of Quill's old  music on the ship?"
"553","                                                TASERFACE","He's got it!"
"554","                                 TASERFACE ","HE'S GOT IT! YONDU'S GOT THE DAMN  FIN!"
"555","                                                RETCH","GO!"
"556","                                             SCURRILOUS RAVAGER","Down there!"
"557","                                             ROCKET","You maniac. The whole ship is gonna  blow."
"558","                                             YONDU","Not the whole ship."
"559","                                             TASERFACE","I'm sending you the coordinates for  Yondu's ship."
"560","                                             YONDU","Release the quadrant."
"561","                                              TASERFACE","I only ask one thing. That your High Priestess tells him the name of the man what sealed his fate:  Taserface."
"562","          THE ENTIRE REAR UPPER QUADRANT OF THE ECLECTOR DETACHES FROM","THE REST OF THE SHIP, while the remains CONTINUE EXPLODING."
"563","                                             KRAGLIN","Where to, Cap'n?"
"564","                                               ROCKET","Ego."
"565","                                               YONDU","NO, BOY!"
"566","                                             YONDU","It ain't healthy for a mammalian body to hop over fifty jumps at a  time."
"567","                                             ROCKET","I know that."
"568","                                             YONDU","We're about to do seven-hundred."
"569","                                             QUILL","So I guess this could all be mine  someday."
"570","                                             GAMORA","Rocket? Rocket, you there?   Dammit."
"571","                                             GAMORA ","What are you doing, Peter?"
"572","                                             QUILL","Dance with me."
"573","                                             GAMORA","No. I'm not --"
"574","                                             QUILL","Come on. This is Sam Cooke, one of the greatest Earth singers of all  time."
"575","                                             QUILL ","Drax thinks you're not a dancer."
"576","                                             GAMORA","If you ever tell anyone about this,  I'll kill you."
"577","                                             QUILL","When are we going to do something about this... unspoken thing  between us?"
"578","                                             GAMORA","What unspoken thing?"
"579","                                             QUILL","THIS CHEERS-SAM-AND-DIANE-GUY-AND- GIRL-ON-A-TV-SHOW-WHO-DIG-EACH- OTHER-BUT-NEVER-SAY-IT-'CAUSE-WHEN- THEY-DO-THE-RATINGS-WOULD-GO-DOWN  sort of thing?"
"580","                                             GAMORA","There is no unspoken thing between  us."
"581","                                             QUILL","Well, that's a Catch-22. Because if you said there was, it would be spoken, and then you'd be a liar. So by saying there isn't, you're telling the truth, and admitting  there is."
"582","                                             GAMORA","That's not --"
"583","                                             GAMORA ","What we should be discussing right now is that something about this  place doesn't feel right."
"584","                                             QUILL","What are you talking about? You were the one who wanted me to come  here!"
"585","                                              GAMORA","That girl, Mantis. She's afraid of  something."
"586","                                             QUILL","Why are you trying to take this  from me?"
"587","                                                GAMORA","I'm not --"
"588","                                             QUILL","He's my father. He's blood -"
"589","                                             GAMORA","You have blood on earth. You never  wanted to return there."
"590","                                             QUILL","Again - you made me come here! And Earth?! Earth is the place my  mother died in front of me."
"591","                                             GAMORA","No, it's because that's real, and  this is a fantasy."
"592","                                             QUILL","This is real. I'm only half human,  remember?"
"593","                                             GAMORA","That's the half I'm worried about."
"594","                                             QUILL","Oh, I get it. You're jealous because I'm part god! You like me  being the weak one!"
"595","                                             GAMORA","Uh. You were insufferable to begin with. I haven't been able to reach Rocket. I'm going to see if I can  get a signal outside."
"596","                                             QUILL","You know, this isn't Cheers after all. It's whatever the show is where one person is willing to, you know, open themselves up to new possibilities, and the other person is just kind of a jerk who doesn't trust anyone! It's a show that doesn't exist - it would never be made, it would be so horrible! It  would get zero ratings!"
"597","                                             GAMORA","You're having a conversation with yourself! I don't know what Cheers  is!"
"598","                                             QUILL","I finally found my family, don't  you understand that!?"
"599","                                             GAMORA","I thought you already had."
"600","                                             QUILL","So this is how it ends, then? Our  whole story. Like this? You and me?"
"601","                                             GAMORA","Get it through your head, Peter. There is no you and me. There never  was."
"602","                                             GAMORA","Dammit."
"603","                                             GAMORA","You psychopath."
"604","                                             GAMORA","Are you kidding me?!"
"605","                                             NEBULA","I win."
"606","                                             NEBULA ","I win. I bested you in combat."
"607","                                             GAMORA","Uh, no, I just spared your life -"
"608","                                             NEBULA","You were stupid enough to let me  live so -"
"609","                                             GAMORA","You just let me live!"
"610","                                             NEBULA","I WIN!"
"611","                      GAMORA                      NEBULA ","Nebula, I really don't need  I don't need you always this. My day has been bad  trying to beat me!  ENOUGH -"
"612","                                             GAMORA","I'm not the one who just flew across the universe because I  wanted to win!"
"613","                                             NEBULA","Don't tell me what I want!"
"614","                                             GAMORA","I don't have to because you make it  OBVI -"
"615","                                             NEBULA","YOU WERE THE ONE WHO WANTED TO WIN,  I JUST WANTED A SISTER!"
"616","                                             NEBULA ","You were all I had, but you were the one who needed to win! Thanos pulled my eye from my head and my brain from my skull and my arm from  my body because of you!"
"617","                              EGO ","You all right, son?"
"618","                                             EGO ","I saw your girl stomp off earlier  in quite a huff."
"619","                                                QUILL","Yeah."
"620","                                              EGO","It's fortuitous you're listening to  this song."
"621","                                             QUILL","You know - ?"
"622","                                             EGO","`Brandy' by Looking Glass.  A  favorite of your mom's."
"623","                                                QUILL","Yes."
"624","                                             EGO","One of earth's greatest musical compositions. Perhaps its very  greatest."
"625","                                             QUILL","Yeah, it is."
"626","                                             EGO","You and I, Peter, we're the sailor  in the song."
"627","                                             EGO ","He came on a summer's day, bringing gifts from far away - like the child I put in your mother, or the  freedom you brought Gamora."
"628","                                             EGO ","Brandy, you're a fine girl, what a good wife you would be. But my life, my love, my lady is the sea. The sea calls the sailor back. He loves the girl, but that's not his place. The sea calls upon him as history calls upon great men, and sometimes we are deprived the  pleasures of mortals."
"629","                                             QUILL","Well, you might not be mortal, but  ME -"
"630","                                             EGO","Death will remain a stranger to both of us as long as the light  burns within the planet."
"631","                                             QUILL","I'm immortal? That's... really?"
"632","                                             EGO","Yes, as long as the light exists."
"633","                                             QUILL","And I can use the light to make cool things? Like how you made all  this?"
"634","                                             EGO","It'll take thousands of years of practice before you get really good  at it . But, yes."
"635","                                             QUILL","Well, get ready for an eight hundred foot statue of Pac Man, then. With Skeletor. And Heather Locklear. I'm gonna make some weird  shit."
"636","                                             EGO","I can't wait to see your weird  shit."
"637","                                             QUILL","Wow, that..."
"638","                                             EGO","Came out a little disgusting."
"639","                                             EGO ","It is a tremendous responsibility, Peter. Only we can remake the universe. Only we can take the bridle of the cosmos and lead it  where it needs to go."
"640","                                               QUILL","How?"
"641","                                             EGO","Come with me."
"642","                              MANTIS ","Drax! Drax!"
"643","                                             MANTIS ","Drax, we need to talk -"
"644","                                             DRAX","Ugh. I am sorry, but I like a woman  with some meat on her bones."
"645","                                               MANTIS","What?"
"646","                                             DRAX","I tried to let you down easily by  telling you I found you disgusting."
"647","                                             MANTIS","No! That's not what I -"
"648","                                             MANTIS ","What are you doing?!"
"649","                                             DRAX","I'm imagining being with you  physically!"
"650","                                             MANTIS","Drax, that's not - I don't like you like that. I don't even like the  type of thing you are."
"651","                                             DRAX","Hey! There's no need to get  personal!"
"652","                                             MANTIS","Listen! Ego's gotten exactly what he wanted. I should have told you earlier, I am stupid. You are in  danger."
"653","                                             GAMORA","What's that?"
"654","                                             EGO","You need to readjust the way you process life. Everything around us - including the girl - is temporary.  We are forever."
"655","                                             QUILL","Doesn't eternity get boring?"
"656","                                             EGO","Not if you have a purpose, Peter. Which is why you're here. I told you how all those years ago I had  an unceasing impulse to find life."
"657","                                             EGO ","I didn't tell you how when I did find it, it was all so...  disappointing."
"658","                                             EGO","And that is when I came to a  profound realization."
"659","                                             EGO","My innate desire to seek out other life was not so that I could walk  among that life."
"660","                                             EGO ","Peter, I had found meaning."
"661","                                             QUILL","I see it. Eternity."
"662","                                                GAMORA","Oh my God."
"663","                                             NEBULA","We need to get off this planet."
"664","                                             STAN LEE","Anyway, before I was so rudely interrupted, that time I was a  World War II vet -"
"665","                                             YONDU","What the hell you doing, boy?!"
"666","                                             ROCKET","I could tell by how you talked about him - this Ego is bad news.  We're here to save Quill."
"667","                                             YONDU","For `honor'? For `love'?"
"668","                                             ROCKET","No! I don't care about those things! I want to save Quill so I can prove I'm better than him! I  can lord this over him forever!"
"669","                                             ROCKET ","What are you laughing at me for?!"
"670","                                             YONDU","You can fool yourself and everyone else but you can't fool me. I know  who you are."
"671","                                             ROCKET","You don't know anything about me,  loser."
"672","                                             YONDU","I know everything about you. I know you play like the meanest and the hardest `cause you actually the  most scared of all."
"673","                                               ROCKET","Shut up."
"674","                                             YONDU","I know you steal batteries you don't need and you push away anyone who's willing to put up with you, `cause just a little bit of love reminds you how big and empty that  hole inside you actually is!"
"675","                                             ROCKET","I said, shut up."
"676","                                             YONDU","I know the scientists what made you  never gave a rat's ass about you -"
"677","                                             ROCKET","I'm serious, dude - !"
"678","                                               YONDU","Just like my own damn parents, who sold me, their own little baby, into slavery! I know who you are,  boy,  because you're me."
"679","                                             ROCKET","What kind of pair are we?"
"680","                                             YONDU","The kind that's about to go fight a  planet I reckon."
"681","                                             ROCKET","All right, okay, that's - Wait.  Fight a what?"
"682","                                               DRAX","Hey!"
"683","                                             GAMORA","Who are you people?! What is this  place?!"
"684","                                             DRAX","What is she doing here?"
"685","                                             NEBULA","Just watching the fireworks."
"686","                                             DRAX","Gamora, let her go!"
"687","                                             GAMORA","The bodies in the caverns, who are  they?!"
"688","                                             MANTIS","You are scared."
"689","                                             EGO","I call it the Expansion. It is my purpose. And now it's yours as  well."
"690","                                             QUILL","It's beautiful."
"691","                                             EGO","Over thousands of years I implanted thousands of extensions of myself  on thousands of worlds."
"692","                                             EGO ","I needed to fulfill life's one true purpose: to grow and to spread, covering all that exists, until  everything... is me."
"693","                                             GAMORA","What did she do to me?!"
"694","                                             DRAX","She already told me everything."
"695","                                             EGO","I only had one problem. A single Celestial doesn't have enough power for such an enterprise. But two Celestials - well now, that just  might do."
"696","                                             MANTIS","The bodies are his children."
"697","                                             EGO","Out of all my labors the most beguiling was attempting to graft my DNA with that of another species. I hoped the result of such a coupling would be enough to power  the expansion."
"698","                              EGO ","I had Yondu deliver some of them to me. It broke the Ravager code - but I compensated him generously. And, to ease his conscience, I told him  I would never hurt them."
"699","                                              EGO","That was true. They never felt a thing. But, one after the other, they failed me. None of them had the Celestial genes. Until you, Peter. Out of all my spawn, only you have carried the connection to  the light."
"700","                                             GAMORA","We need to find Peter now and get  off this damn planet."
"701","                                             MANTIS","Ego will have won him to his side  by now. He has a way of -"
"702","                                             NEBULA","Then we just go."
"703","                                             GAMORA","No. He's our friend."
"704","                                             NEBULA","All any of you do is yell at each  other. You're not friends."
"705","                                             DRAX","Except maybe you."
"706","                                                NEBULA","Oh my god."
"707","                                             EGO","For the first time in my life, I am  truly not alone."
"708","                                             EGO ","What is it, son?"
"709","                                             QUILL","My friends."
"710","                                             EGO","That's the mortal in you, Peter."
"711","                                             QUILL","Yes. I don't need that."
"712","                                             EGO","What are we?"
"713","                                                QUILL","Forever."
"714","                                             EGO","What are they?"
"715","                                                QUILL","Temporary."
"716","                                             EGO","You think you love them. But love is merely an evolutionary trick in the service of reproduction. We are  beyond such things."
"717","                                                QUILL","Yes."
"718","                                                EGO","NOW -"
"719","                                             QUILL","But my mother."
"720","                                             QUILL ","You said you loved my mother."
"721","                                             EGO","That I did. My river lily, who knew the words to every song that came on the radio. I returned to earth to see her three times. I knew if I came back a fourth, I'd never  leave."
"722","                                             EGO ","The expansion, the reason for my very existence would be over. So I did what I had to do. But it broke my heart to put that tumor in her  head."
"723","                                               QUILL","Wh- what?"
"724","                                             EGO","I know that sounds bad -"
"725","                                             EGO ","Who in the hell do you think you  are?"
"726","                                             QUILL","You killed my mother!"
"727","                                             EGO","I tried so hard to find the form that best suited you, and this is  the thanks I get?"
"728","                                             EGO ","You really need to grow up."
"729","                                             EGO ","I wanted to do this together! But I suppose you'll have to learn by spending the next thousand years as  a battery, `Star-Lord'."
"730","                                              GAMORA","Rocket?!"
"731","                                             ROCKET","Keep that transmitter nearby so I can find you. We're in an old piece of construction equipment Yondu once used to slice open the Bank of  A'askavaria."
"732","                              GAMORA ","Ego's unhinged -"
"733","                                             ROCKET","I know. Get ready."
"734","                                             YONDU","Drop it, Kraglin!"
"735","                                             ROCKET","I got a plan."
"736","                                             YONDU","What is it?"
"737","                                             ROCKET","It's pretty simple."
"738","                                             EGO","`My life, my love, my lady is the  sea'? Peter, THIS IS THE SEA."
"739","                                             YONDU","Hey there, Jackass."
"740","                                             DRAX","Out of the way, dumber, smaller  Groot."
"741","                                             GAMORA","I told you something didn't feel  right."
"742","                                             QUILL","`I told you so.' That's really what  I need right now."
"743","                                             GAMORA","I came back, didn't I?"
"744","                                             QUILL","Because there's an unspoken thing."
"745","                                             GAMORA","There is no unspoken thing."
"746","                                             DRAX","What are you doing? You could have killed us all crashing in here like  that!"
"747","                                             ROCKET","Uh, `Thank you, Rocket'?"
"748","                                             DRAX","We had it under control."
"749","                                             MANTIS","We did not. That is only an extension of his true self. He will  be back soon."
"750","                                             QUILL","What's Smurfette doing here!?"
"751","                                              NEBULA","Back rubs, dishes, killing gods, whatever I need to do to get a damn  ride home."
"752","                                             ROCKET","She tried to murder me!"
"753","                                             NEBULA","I saved you, you stupid fox."
"754","                                             GAMORA","He's not a fox."
"755","                                             GROOT","I am Groot."
"756","                                             ROCKET","I'm not a raboon either!"
"757","                                             GROOT","I am Groot."
"758","                                             ROCKET","`Raccoon,' whatever!"
"759","                                             DRAX","How do we kill a Celestial?"
"760","                                             QUILL","There's the center to him - his brain, his soul, whatever it is, in  some sort of shell --"
"761","                                             MANTIS","It's in the caverns below the  surface."
"762","                                               QUILL","YONDU?"
"763","                                             NEBULA","If he's got that fin back, I am so  screwed."
"764","                                             YONDU","Thrusters are out!"
"765","                                             QUILL","I guess I should be glad I was a skinny kid. Otherwise you would  have delivered me to this maniac!"
"766","                                             YONDU","You still reckon that's the reason  I kept you around, you idiot?!"
"767","                                             QUILL","That's what you told me, you old  doofus!"
"768","                                             YONDU","Once I figured out what happened to them other kids, I wasn't gonna  just hand you over."
"769","                                             QUILL","You said you were gonna eat me!"
"770","                                             YONDU","That was being funny!"
"771","                                             QUILL","Not to me!!"
"772","                                             ROCKET","You people have issues."
"773","                                             QUILL","Of course I have issues that's my fricking father!!... Thrusters are  back up."
"774","                                             YONDU","We should be going up!"
"775","                                             QUILL","We can't. Ego wants to eradicate the universe as we know it. We have  to kill him."
"776","                                              QUILL ","Rocket!"
"777","                                              ROCKET","Got it."
"778","                                             ROCKET ","So, we're saving the galaxy again?"
"779","                                              QUILL","I guess."
"780","                                             ROCKET","Awesome. We'll really be able to jack up our prices if we're two-  time-galaxy savers."
"781","                                             QUILL","I seriously can't believe that is  where your mind goes."
"782","                                             ROCKET","It was just a random thought, man!  I thought we were friends!"
"783","                                             ROCKET ","Of course I care about the planets, and the buildings, and all of the  animals on the planets."
"784","                                             QUILL","And the people."
"785","                                             ROCKET","Meh."
"786","                                             MANTIS","The crabby puppy is so cute he  makes me want to die!"
"787","                                             DRAX","Your suicidal thoughts sadden me, but your wish will likely come  true."
"788","                                             AYESHA","Pilots, release envoy units!"
"789","                                             AYESHA","Our sensors detect the batteries are below the surface of the  planet."
"790","                                                AYESHA","Dive!"
"791","                                                KRAGLIN","Uhh... Cap'n?"
"792","                                                KRAGLIN ","Cap'n?"
"793","                                                YONDU","So why'd Ego want you here?"
"794","                                                QUILL","He needs my genetic connection to the light to help destroy the universe. He tried to teach me how  to control the power."
"795","                                                YONDU","So could you?"
"796","                                                QUILL","A little. I made a ball."
"797","                                                YONDU","A ball?"
"798","                                                QUILL","I thought as hard as a could,  that's all I could come up with."
"799","                                                YONDU","You `thought'?"
"800","                                             YONDU ","You think when I make this arrow  fly I use my head?"
"801","                                             QUILL","What do you use?"
"802","                                             GAMORA","Whoa."
"803","                                             MANTIS","There! Thats Ego's core."
"804","                                             GAMORA","That ore's thick. Rocket, we're  gonna need to use the big laser."
"805","                                             MANTIS","We must hurry. It will not take Ego  long to find us."
"806","                                             ROCKET","Keep it still!"
"807","                                             QUILL","We drill into the center, we kill  him."
"808","                                             YONDU","What is it, Kraglin?"
"809","                              KRAGLIN ","Um, remember that Ayesha chick?"
"810","                                                YONDU","Yeah, why?"
"811","                                                YONDU ","Aw, hell."
"812","                                             QUILL","Why aren't you firing the laser?!"
"813","                                             ROCKET","They blew out the generator!  I think I packed a small detonator."
"814","                                             NEBULA","A detonator is worthless without  explosives!"
"815","                                             ROCKET","We got these!"
"816","                                             QUILL","Is it strong enough to kill Ego?"
"817","                                             ROCKET","If it is, it will cause a chain reaction throughout his entire  nervous system."
"818","                                             QUILL","Meaning what?"
"819","                                             ROCKET","The entire planet will explode. We'll have to get out of here fast.  I rigged a timer."
"820","                                             QUILL","Go!"
"821","                                             MANTIS","He's coming."
"822","                                             DRAX","Didn't you say you could make him  sleep?"
"823","                                             MANTIS","When he wants! He's too powerful! I  can't!"
"824","                                             DRAX","You don't have to believe in  yourself because I believe in you."
"825","                                             MANTIS","SLEEP!"
"826","                                             DRAX","I never thought she'd be able to do it. With as skinny and weak as she  appears to be."
"827","                                             MANTIS","I don't know how long I can hold  him!"
"828","                                             GAMORA","You need to, girl. If you don't  keep Ego at bay, we all die."
"829","                                             ROCKET","The metal is too thick! For the bomb to work we'd actually need to place it on Ego's core. And our fat butts ain't gonna fit through  those tiny holes."
"830","                                             QUILL","Well..."
"831","                                             ROCKET","That's a terrible idea."
"832","                                             QUILL","Which is the only kind of idea we  got left."
"833","                                             ROCKET","Unbelievable. `Rocket, do this.  Rocket, do that.'"
"834","                                             QUILL","Uh, what a day."
"835","                                              ROCKET","All right. First you flick this switch, then this switch. That activates it. And then you push this button, which will give you five minutes to get out of there. Whatever you do don't push this button, because that will set off the bomb immediately, and we'll all be dead. Now repeat back what I  just said."
"836","                                             GROOT","I am Groot."
"837","                                             ROCKET","Uh huh."
"838","                                             GROOT","I am Groot."
"839","                                             ROCKET","That's right."
"840","                                             GROOT","I am Groot."
"841","                                             ROCKET","No! That's the button that will  kill everyone! Try again."
"842","                                             GROOT","I am Groot."
"843","                                             GROOT ","I am Groot."
"844","                                             GROOT ","I am Groot."
"845","                                             ROCKET","No! That's exactly what you just said! How is that even possible?! Which button is the button you're  supposed to push?! Point to it."
"846","                                             ROCKET ","NO!!!"
"847","                              QUILL ","Hey, you're making him nervous!"
"848","                                             ROCKET","Shut up! And give me some tape! Does anyone have any tape out there!? I want to put some tape  over the death button!"
"849","                                             QUILL","I don't have any tape.  Let me  check."
"850","                                             QUILL ","No one has any tape."
"851","                                             ROCKET","Not a single person has tape?"
"852","                                             QUILL","You have priceless batteries and an atomic bomb in your bag! If anyone  had tape it would be you!"
"853","                                             ROCKET","That's exactly my point! I have to  do everything!"
"854","                                             QUILL","Dude, you're wasting time!"
"855","                                             ROCKET","We're all gonna die."
"856","                                              YONDU","We're done for without the  generator."
"857","                                             AYESHA","They will serve as a warning to all of those tempted with betraying us;  don't screw with the Sovereign."
"858","                                             YONDU","This is gonna hurt."
"859","                                             NEBULA","Promises, promises."
"860","          AND THE LASERS BEAM OUT OF THE SHIP IN ALL DIRECTIONS AT","ONCE, like a dangerous disco ball, slicing through almost  nearly every single ENVOY."
"861","                                             DRAX","Hey!"
"862","                                             AYESHA","NO! NOOOOO!!"
"863","                                             QUILL","We're gonna blow!"
"864","                                             GAMORA","Peter?"
"865","                                             YONDU","What?"
"866","                                             QUILL","You look like Mary Poppins."
"867","                                             YONDU","Is he cool?"
"868","                                             QUILL","Yeah. He's cool."
"869","                                             YONDU","I'm Mary Poppins, y'all!"
"870","                                              QUILL","Oh. Wow."
"871","          THE ENTIRE HOLLOW AROUND THEM BEGINS TO RUMBLE.   THE GROUND","AND WALLS THEMSELVES SHIFT and WAVER."
"872","                                             DRAX","She's just unconscious."
"873","                                             QUILL","How long before the bomb goes off?"
"874","                                             ROCKET","In the unlikely event Groot doesn't  kill us all, about six minutes."
"875","                                              YONDU","Kraglin."
"876","                              YONDU ","We need the Quadrant for extraction  in T-minus five minutes."
"877","                                             KRAGLIN","Aye, Cap'n!"
"878","                                             QUILL","Someone needs to be up top when  Kraglin arrives. Drax, take Mantis."
"879","                                             DRAX","Ahhh! My nipples!"
"880","                                              QUILL","Gamora!!"
"881","                                             NEBULA","Oh, get over it."
"882","                                             GAMORA","We have to get up to the extraction  point!"
"883","                                             EGO","I told you I don't want to do this  alone."
"884","                                             EGO","You cannot deny the purpose the  universe has bestowed upon you!"
"885","                                             OFFICER FITZGIBBON","Please, everyone. Step back. I need  you all to clear the -"
"886","                              WEIRD OLD MAN","What is that?"
"887","                                             GRANDPA QUILL","Come on, ma'am."
"888","                                             EGO","It doesn't need to be like this"
"889","                                             EGO","Why are you destroying our chance?!"
"890","                                             EGO","Stop pretending you aren't, what  you are!"
"891","                                             EGO","One in billions.."
"892","                                             EGO","Trillions, even more!"
"893","                                             EGO","What greater meaning could life  possibly have to offer?!"
"894","                                             YONDU","I don't use my head to fly the  arrow, boy! I use my h -"
"895","                                             QUILL","You shouldn't have killed my mom  and squished my walkman."
"896","                                             ROCKET","Groot! Groot, if you can can hear me, hurry up - I'm not sure how  long Quill can keep him distracted!"
